PIVlab, ASCII chart output - 19-Jun-2022
FRAME: 1, filenames: A: 0.png & B: 1.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
97,209,0.06371680878,-0.1356736816,1
97,225,0.1424159207,-0.1086007751,1
97,241,0.2761611142,-0.1848489441,1
97,257,0.1161593595,0.01740630491,1
97,273,0.09454909946,0.0234812103,1
97,289,0.1990279355,0.04808600766,1
97,305,0.1141699948,0.1781786285,1
97,321,0.01218024874,0.1751478515,1
97,337,-0.07479675628,0.2877176605,1
97,353,-0.202415546,0.2676294647,1
97,369,-0.2085572086,0.08644278864,1
97,385,-0.07549293856,0.006429513488,1
97,401,-0.1485443912,0.04204352716,1
113,17,0.1208323636,0.06709273692,1
113,33,-0.02079971649,0.06991370556,1
113,49,-0.06234939911,0.2160089814,1
113,65,0.02532951019,0.3758924806,1
113,81,-0.04093559602,0.1332300508,1
113,97,-0.1540489993,0.09505446786,1
113,113,-0.1453419528,0.07891829842,1
113,129,-0.05604179719,-0.006704489072,1
113,145,-0.03415306428,-0.1045591033,1
113,161,-0.07578476288,-0.09386650693,1
113,177,-0.0777703128,-0.364442984,1
113,193,-0.001733859543,-0.3666135468,1
113,209,0.1314028897,-0.3359090485,1
113,225,0.1262892881,-0.1911241211,1
113,241,0.1295947232,-0.1712075867,1
113,257,0.1162299314,0.005584558064,1
113,273,0.07974044468,0.0337141357,1
113,289,0.1841735044,0.1526125274,1
113,305,0.06147948887,0.09637435297,1
113,321,-0.08095558499,0.2638605438,1
113,337,-0.03950317716,0.2813070617,1
113,353,-0.1574803195,0.4897859893,1
113,369,-0.2173062167,0.08980925896,1
113,385,-0.1458493076,0.07153685905,1
113,401,-0.138301929,0.1020582519,1
129,17,0.05070487643,0.1190698945,1
129,33,0.01416007662,0.1423090302,1
129,49,-0.05962379789,0.2573145234,1
129,65,-0.05606659269,0.3346861207,1
129,81,-0.07287414884,0.247289499,1
129,97,-0.08717926359,0.07041724556,1
129,113,-0.07744224882,0.05346854559,1
129,129,-0.02681549406,-0.02273575435,1
129,145,-0.02018745755,-0.1034089721,1
129,161,-0.03815277432,-0.08835236205,1
129,177,-0.000743945583,-0.2061177887,1
129,193,0.08435622837,-0.4731256165,1
129,209,0.06805984166,-0.4079133667,1
129,225,0.08995429662,-0.2203675904,1
129,241,0.09400359777,-0.08142868658,1
129,257,0.005567471061,0.01323684075,1
129,273,0.007509151968,0.03469260552,1
129,289,0.001562038929,0.09440787651,1
129,305,-0.00660713527,0.09855445244,1
129,321,0.005010525247,0.3385942779,1
129,337,0.07231132175,0.3479078612,1
129,353,0.02393905307,0.485473474,1
129,369,-0.01393516874,0.1195352874,1
129,385,-0.05334289885,0.1551569304,1
129,401,-0.07131584502,0.1499212584,1
145,17,-0.08017547938,0.1268328034,1
145,33,-0.08477218958,0.178438028,1
145,49,-0.1121140322,0.2961347901,1
145,65,-0.07387359949,0.2975424134,1
145,81,-0.06571014735,0.3443830811,1
145,97,-0.03081711145,0.05004676214,1
145,113,0.004585186521,0.03153785099,1
145,129,0.03812591223,-0.0190698303,1
145,145,0.04702560095,-0.08868805542,1
145,161,0.03752319007,-0.1092702545,1
145,177,0.03384009986,-0.1730405487,1
145,193,0.01357070594,-0.2188932099,1
145,209,-0.01075371117,-0.2555467286,1
145,225,0.030158917,-0.3244363465,1
145,241,0.007600704718,-0.07457176827,1
145,257,-0.05972488733,0.03717025137,1
145,273,-0.05043419214,0.05812056875,1
145,289,-0.07136734339,0.09316619252,1
145,305,-0.1010800204,0.3022249541,1
145,321,-0.03765114161,0.2726953826,1
145,337,-0.03180511806,0.3544920287,1
145,353,0.00830451634,0.1552732787,1
145,369,0.05735389378,0.09472449633,1
145,385,0.01906768467,-0.06645599989,1
145,401,0.01675979282,-0.002691427752,1
161,17,-0.1787949404,0.02562125553,1
161,33,-0.1119175753,0.2037123047,1
161,49,-0.07084472983,0.2217386567,1
161,65,-0.04922493308,0.190654596,1
161,81,-0.008949359344,0.2474001252,1
161,97,0.0257262388,0.02833922731,1
161,113,0.07587234171,0.01994880066,1
161,129,0.1224002043,-0.01045815125,1
161,145,0.1337222257,-0.08451477664,1
161,161,0.04828254374,-0.07507912297,1
161,177,0.01552955302,-0.177807013,1
161,193,-0.006374438685,-0.07830826424,1
161,209,-0.01408966391,-0.1940995851,1
161,225,-0.05222709983,-0.2045823732,1
161,241,-0.09304436057,-0.1164952913,1
161,257,-0.06948479027,0.04729064319,1
161,273,-0.09730728478,0.09889014574,1
161,289,-0.161039432,0.1002729735,1
161,305,-0.04748543115,0.2210977873,1
161,321,-0.007907947019,0.2322214446,1
161,337,-0.02193840356,0.1679590544,1
161,353,0.008077541871,0.06697257369,1
161,369,0.1557292142,0.02373488753,1
161,385,0.2583293119,-0.07906166705,1
161,401,0.3423709073,-0.09599701556,1
177,17,-0.3331070742,0.05081351623,1
177,33,-0.2031899294,0.1933115326,1
177,49,-0.1693821749,0.18209823,1
177,65,-0.08044250811,0.09264548645,1
177,81,0.04306213056,0.1000974975,1
177,97,0.3302764097,0.02874739988,1
177,113,0.5437087218,0.02367575986,1
177,129,0.4935397307,0.04164679866,1
177,145,0.2404021422,-0.03511635443,1
177,161,0.05429069197,-0.04111878059,1
177,177,0.02238647139,-0.1495858827,1
177,193,-0.0328141054,-0.08524147655,1
177,209,-0.03746612873,-0.1234380403,1
177,225,-0.07850845662,-0.05816857008,1
177,241,-0.1640053591,-0.01018349319,1
177,257,-0.2207184633,0.001058419644,1
177,273,-0.1190853915,0.07562812178,1
177,289,-0.09755142539,0.09475310651,1
177,305,-0.04812057823,0.0794142088,1
177,321,0.03195945412,0.0904901823,1
177,337,0.06834785134,0.08519347514,1
177,353,0.1133155027,0.0425527891,1
177,369,0.3774947324,0.02598365152,1
177,385,0.1843318144,-0.01266495384,1
177,401,0.2166155973,-0.05349175133,1
193,17,-0.2505513032,0.09594901423,1
193,33,-0.3041764101,0.1009691558,1
193,49,-0.186025699,0.09486564021,1
193,65,-0.06326301894,0.0620859466,1
193,81,0.1039218108,-0.01550881048,1
193,97,0.2310561339,0.03385909417,1
193,113,0.3959654967,0.006849130177,1
193,129,0.4789790313,-0.05218140267,1
